Alpha,Cl,Cd
-10.00,-0.819500,0.075770
-9.99,-0.816619,0.075812
-9.98,-0.817610,0.075566
-9.97,-0.818599,0.075321
-9.96,-0.819587,0.075075
-9.95,-0.820572,0.074829
-9.94,-0.821555,0.074584
-9.93,-0.822535,0.074339
-9.92,-0.823511,0.074095
-9.91,-0.824483,0.073850
-9.90,-0.825451,0.073606
-9.89,-0.826413,0.073363
-9.88,-0.827369,0.073120
-9.87,-0.828319,0.072877
-9.86,-0.829263,0.072635
-9.85,-0.830199,0.072394
-9.84,-0.831127,0.072154
-9.83,-0.832047,0.071914
-9.82,-0.832958,0.071675
-9.81,-0.833859,0.071436
-9.80,-0.834751,0.071199
-9.79,-0.835632,0.070962
-9.78,-0.836503,0.070727
-9.77,-0.837362,0.070492
-9.76,-0.838208,0.070258
-9.75,-0.835500,0.070250
-9.74,-0.839864,0.069794
-9.73,-0.840673,0.069564
-9.72,-0.841468,0.069335
-9.71,-0.842251,0.069107
-9.70,-0.843022,0.068879
-9.69,-0.843779,0.068653
-9.68,-0.844525,0.068429
-9.67,-0.845258,0.068205
-9.66,-0.845978,0.067982
-9.65,-0.846687,0.067760
-9.64,-0.847384,0.067539
-9.63,-0.848068,0.067320
-9.62,-0.848741,0.067101
-9.61,-0.849402,0.066883
-9.60,-0.850052,0.066666
-9.59,-0.850690,0.066451
-9.58,-0.851316,0.066236
-9.57,-0.851931,0.066022
-9.56,-0.852535,0.065809
-9.55,-0.853128,0.065597
-9.54,-0.853710,0.065387
-9.53,-0.854281,0.065177
-9.52,-0.854841,0.064967
-9.51,-0.855390,0.064759
-9.50,-0.855929,0.064552
-9.49,-0.856457,0.064346
-9.48,-0.856974,0.064140
-9.47,-0.857482,0.063936
-9.46,-0.857979,0.063732
-9.45,-0.858466,0.063529
-9.44,-0.858944,0.063327
-9.43,-0.859411,0.063126
-9.42,-0.859869,0.062926
-9.41,-0.860317,0.062727
-9.40,-0.860756,0.062528
-9.39,-0.861186,0.062330
-9.38,-0.861606,0.062133
-9.37,-0.862017,0.061937
-9.36,-0.862419,0.061741
-9.35,-0.862813,0.061546
-9.34,-0.863197,0.061352
-9.33,-0.863573,0.061159
-9.32,-0.863941,0.060966
-9.31,-0.864300,0.060775
-9.30,-0.864651,0.060583
-9.29,-0.864994,0.060393
-9.28,-0.865328,0.060203
-9.27,-0.865655,0.060014
-9.26,-0.865974,0.059825
-9.25,-0.865400,0.059770
-9.24,-0.866590,0.059450
-9.23,-0.866886,0.059264
-9.22,-0.867174,0.059078
-9.21,-0.867454,0.058893
-9.20,-0.867725,0.058708
-9.19,-0.867988,0.058525
-9.18,-0.868242,0.058342
-9.17,-0.868487,0.058159
-9.16,-0.868723,0.057978
-9.15,-0.868949,0.057798
-9.14,-0.869166,0.057618
-9.13,-0.869373,0.057439
-9.12,-0.869570,0.057261
-9.11,-0.869756,0.057084
-9.10,-0.869932,0.056908
-9.09,-0.870097,0.056733
-9.08,-0.870251,0.056559
-9.07,-0.870393,0.056385
-9.06,-0.870525,0.056213
-9.05,-0.870645,0.056042
-9.04,-0.870753,0.055872
-9.03,-0.870849,0.055703
-9.02,-0.870932,0.055535
-9.01,-0.871003,0.055368
-9.00,-0.874300,0.055000
-8.99,-0.871108,0.055038
-8.98,-0.871140,0.054874
-8.97,-0.871161,0.054712
-8.96,-0.871168,0.054551
-8.95,-0.871164,0.054391
-8.94,-0.871147,0.054232
-8.93,-0.871117,0.054074
-8.92,-0.871076,0.053917
-8.91,-0.871023,0.053761
-8.90,-0.870959,0.053606
-8.89,-0.870882,0.053452
-8.88,-0.870795,0.053299
-8.87,-0.870695,0.053147
-8.86,-0.870585,0.052996
-8.85,-0.870463,0.052846
-8.84,-0.870331,0.052697
-8.83,-0.870188,0.052548
-8.82,-0.870034,0.052401
-8.81,-0.869869,0.052254
-8.80,-0.869694,0.052108
-8.79,-0.869509,0.051963
-8.78,-0.869313,0.051819
-8.77,-0.869108,0.051675
-8.76,-0.868892,0.051532
-8.75,-0.868667,0.051390
-8.74,-0.868432,0.051249
-8.73,-0.868187,0.051108
-8.72,-0.867933,0.050968
-8.71,-0.867670,0.050829
-8.70,-0.867399,0.050690
-8.69,-0.867118,0.050552
-8.68,-0.866829,0.050415
-8.67,-0.866531,0.050278
-8.66,-0.866225,0.050143
-8.65,-0.865911,0.050008
-8.64,-0.865589,0.049873
-8.63,-0.865260,0.049740
-8.62,-0.864923,0.049607
-8.61,-0.864578,0.049474
-8.60,-0.864227,0.049343
-8.59,-0.863868,0.049212
-8.58,-0.863503,0.049082
-8.57,-0.863131,0.048952
-8.56,-0.862753,0.048824
-8.55,-0.862368,0.048696
-8.54,-0.861977,0.048568
-8.53,-0.861581,0.048442
-8.52,-0.861178,0.048316
-8.51,-0.860770,0.048191
-8.50,-0.853700,0.048670
-8.49,-0.859939,0.047942
-8.48,-0.859515,0.047819
-8.47,-0.859087,0.047697
-8.46,-0.858653,0.047575
-8.45,-0.858215,0.047454
-8.44,-0.857772,0.047334
-8.43,-0.857325,0.047214
-8.42,-0.856873,0.047094
-8.41,-0.856417,0.046976
-8.40,-0.855957,0.046858
-8.39,-0.855493,0.046740
-8.38,-0.855024,0.046623
-8.37,-0.854552,0.046507
-8.36,-0.854076,0.046391
-8.35,-0.853597,0.046276
-8.34,-0.853114,0.046161
-8.33,-0.852627,0.046046
-8.32,-0.852137,0.045932
-8.31,-0.851644,0.045819
-8.30,-0.851148,0.045706
-8.29,-0.850649,0.045593
-8.28,-0.850146,0.045481
-8.27,-0.849642,0.045369
-8.26,-0.849134,0.045258
-8.25,-0.848624,0.045147
-8.24,-0.848111,0.045037
-8.23,-0.847596,0.044926
-8.22,-0.847080,0.044816
-8.21,-0.846561,0.044707
-8.20,-0.846041,0.044597
-8.19,-0.845519,0.044488
-8.18,-0.844997,0.044379
-8.17,-0.844473,0.044270
-8.16,-0.843949,0.044162
-8.15,-0.843424,0.044053
-8.14,-0.842899,0.043945
-8.13,-0.842374,0.043836
-8.12,-0.841849,0.043728
-8.11,-0.841325,0.043620
-8.10,-0.840801,0.043512
-8.09,-0.840278,0.043403
-8.08,-0.839757,0.043295
-8.07,-0.839236,0.043187
-8.06,-0.838717,0.043078
-8.05,-0.838200,0.042969
-8.04,-0.837685,0.042861
-8.03,-0.837172,0.042752
-8.02,-0.836661,0.042642
-8.01,-0.836153,0.042533
-8.00,-0.837100,0.042180
-7.99,-0.835145,0.042313
-7.98,-0.834646,0.042203
-7.97,-0.834148,0.042093
-7.96,-0.833651,0.041982
-7.95,-0.833156,0.041872
-7.94,-0.832660,0.041761
-7.93,-0.832164,0.041651
-7.92,-0.831668,0.041540
-7.91,-0.831170,0.041430
-7.90,-0.830670,0.041320
-7.89,-0.830167,0.041210
-7.88,-0.829661,0.041101
-7.87,-0.829152,0.040992
-7.86,-0.828638,0.040883
-7.85,-0.828119,0.040775
-7.84,-0.827595,0.040668
-7.83,-0.827065,0.040561
-7.82,-0.826529,0.040455
-7.81,-0.825985,0.040349
-7.80,-0.825434,0.040245
-7.79,-0.824874,0.040141
-7.78,-0.824306,0.040038
-7.77,-0.823728,0.039936
-7.76,-0.823141,0.039835
-7.75,-0.822543,0.039735
-7.74,-0.821934,0.039636
-7.73,-0.821314,0.039539
-7.72,-0.820685,0.039442
-7.71,-0.820046,0.039347
-7.70,-0.819398,0.039252
-7.69,-0.818741,0.039158
-7.68,-0.818077,0.039065
-7.67,-0.817405,0.038973
-7.66,-0.816726,0.038882
-7.65,-0.816041,0.038792
-7.64,-0.815349,0.038702
-7.63,-0.814653,0.038613
-7.62,-0.813951,0.038524
-7.61,-0.813245,0.038436
-7.60,-0.812535,0.038349
-7.59,-0.811822,0.038262
-7.58,-0.811105,0.038176
-7.57,-0.810387,0.038090
-7.56,-0.809666,0.038004
-7.55,-0.808945,0.037919
-7.54,-0.808222,0.037833
-7.53,-0.807499,0.037749
-7.52,-0.806776,0.037664
-7.51,-0.806054,0.037580
-7.50,-0.804400,0.037560
-7.49,-0.804614,0.037411
-7.48,-0.803896,0.037327
-7.47,-0.803180,0.037243
-7.46,-0.802465,0.037159
-7.45,-0.801751,0.037075
-7.44,-0.801037,0.036991
-7.43,-0.800325,0.036907
-7.42,-0.799613,0.036824
-7.41,-0.798901,0.036740
-7.40,-0.798189,0.036657
-7.39,-0.797477,0.036574
-7.38,-0.796765,0.036491
-7.37,-0.796053,0.036409
-7.36,-0.795340,0.036326
-7.35,-0.794626,0.036244
-7.34,-0.793912,0.036162
-7.33,-0.793196,0.036080
-7.32,-0.792479,0.035998
-7.31,-0.791761,0.035917
-7.30,-0.791041,0.035836
-7.29,-0.790319,0.035755
-7.28,-0.789595,0.035674
-7.27,-0.788869,0.035594
-7.26,-0.788140,0.035514
-7.25,-0.787410,0.035434
-7.24,-0.786676,0.035354
-7.23,-0.785940,0.035275
-7.22,-0.785201,0.035196
-7.21,-0.784460,0.035118
-7.20,-0.783717,0.035040
-7.19,-0.782972,0.034962
-7.18,-0.782225,0.034884
-7.17,-0.781476,0.034807
-7.16,-0.780725,0.034730
-7.15,-0.779972,0.034653
-7.14,-0.779218,0.034577
-7.13,-0.778463,0.034501
-7.12,-0.777706,0.034425
-7.11,-0.776948,0.034350
-7.10,-0.776189,0.034275
-7.09,-0.775429,0.034200
-7.08,-0.774668,0.034125
-7.07,-0.773907,0.034051
-7.06,-0.773145,0.033978
-7.05,-0.772382,0.033904
-7.04,-0.771619,0.033831
-7.03,-0.770856,0.033758
-7.02,-0.770093,0.033686
-7.01,-0.769330,0.033614
